Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-10-04 23:17:10,"Legs",21min,"Squat (Barbell)",1,120.0,8,0,0,"","",
2022-10-04 23:17:10,"Legs",21min,"Squat (Barbell)",2,120.0,8,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Squat (Barbell)",3,120.0,8,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Seated Leg Press (Machine)",1,95.0,10,0,0,"",,
2022-10-04 23:17:10,"Legs",21min,"Seated Leg Press (Machine)",2,95.0,10,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Seated Leg Press (Machine)",3,95.0,10,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Leg Extension (Machine)",1,85.0,10,0,0,"",,
2022-10-04 23:17:10,"Legs",21min,"Leg Extension (Machine)",2,85.0,10,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Leg Extension (Machine)",3,85.0,10,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Lying Leg Curl (Machine)",1,70.0,10,0,0,"",,
2022-10-04 23:17:10,"Legs",21min,"Lying Leg Curl (Machine)",2,70.0,10,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Lying Leg Curl (Machine)",3,60.0,8,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Standing Calf Raise (Dumbbell)",1,45.0,40,0,0,"",,
2022-10-04 23:17:10,"Legs",21min,"Standing Calf Raise (Dumbbell)",2,45.0,40,0,0,,,
2022-10-04 23:17:10,"Legs",21min,"Standing Calf Raise (Dumbbell)",3,45.0,40,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Bench Press (Barbell)",1,110.0,8,0,0,"","",
2022-10-06 10:09:10,"Push",29min,"Bench Press (Barbell)",2,110.0,8,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Bench Press (Barbell)",3,110.0,8,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Shoulder Press (Machine)",1,80.0,8,0,0,"",,
2022-10-06 10:09:10,"Push",29min,"Shoulder Press (Machine)",2,70.0,8,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Shoulder Press (Machine)",3,50.0,8,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Chest Fly",1,175.0,10,0,0,"",,
2022-10-06 10:09:10,"Push",29min,"Chest Fly",2,145.0,10,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Chest Fly",3,115.0,10,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Chest Press (Machine)",1,85.0,10,0,0,"",,
2022-10-06 10:09:10,"Push",29min,"Chest Press (Machine)",2,85.0,8,0,0,,,
2022-10-06 10:09:10,"Push",29min,"Chest Press (Machine)",3,70.0,10,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Seated Row (Machine)",1,85.0,8,0,0,"","",
2022-10-07 10:17:13,"Pull",27min,"Seated Row (Machine)",2,100.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Seated Row (Machine)",3,100.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown - Wide Grip (Cable)",1,85.0,8,0,0,"",,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown - Wide Grip (Cable)",2,100.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown - Wide Grip (Cable)",3,100.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown (Machine)",1,100.0,8,0,0,"",,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown (Machine)",2,85.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Lat Pulldown (Machine)",3,70.0,9,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Skullcrusher (Dumbbell)",1,25.0,8,0,0,"",,
2022-10-07 10:17:13,"Pull",27min,"Skullcrusher (Dumbbell)",2,25.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Skullcrusher (Dumbbell)",3,25.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Reverse Fly (Cable)",1,70.0,8,0,0,"",,
2022-10-07 10:17:13,"Pull",27min,"Reverse Fly (Cable)",2,85.0,8,0,0,,,
2022-10-07 10:17:13,"Pull",27min,"Reverse Fly (Cable)",3,85.0,8,0,0,,,
2022-10-08 20:06:38,"Legs",1h 2min,"Squat (Barbell)",1,120.0,8,0,0,"","",
2022-10-08 20:06:38,"Legs",1h 2min,"Squat (Barbell)",2,120.0,8,0,0,,,
2022-10-08 20:06:38,"Legs",1h 2min,"Squat (Barbell)",3,120.0,8,0,0,,,
2022-10-08 20:06:38,"Legs",1h 2min,"Seated Leg Press (Machine)",1,312.0,8,0,0,"",,
2022-10-08 20:06:38,"Legs",1h 2min,"Seated Leg Press (Machine)",2,257.0,8,0,0,,,
2022-10-08 20:06:38,"Legs",1h 2min,"Seated Leg Press (Machine)",3,257.0,8,0,0,,,
2022-10-08 20:06:38,"Legs",1h 2min,"Leg Extension (Machine)",1,85.0,8,0,0,"",,
2022-10-08 20:06:38,"Legs",1h 2min,"Leg Extension (Machine)",2,85.0,8,0,0,,,
